분류,명칭,주소,행정 시,행정 구,행정 동,X,Y
문화재유산|문화재구분|조형물,3.1독립기념탑,서울특별시 종로구 종로2가 38 탑골공원 내,서울특별시,종로구,종로1.2.3.4가동,126.988348,37.571206
문화재유산|문화재구분|가옥,"가회동 김형태,이준구 가옥",서울특별시 종로구 가회동 16-8,서울특별시,종로구,가회동,126.9849052,37.5829296
문화재유산|문화재구분|예술가의집,간송 전형필 생가,서울특별시 종로구 종로4가 112번지,서울특별시,종로구,종로1.2.3.4가동,126.9902999,37.570077
문화재유산|문화재구분|조형물,갈항사삼층석탑,서울특별시 종로구 세종로 1 경복궁  와룡동 2-1,서울특별시,종로구,청운효자동,126.9767743,37.5866061
문화재유산|문화재구분|조형물,감고당터(感古堂址),서울특별시 종로구 안국동 37-1번지,서울특별시,종로구,삼청동,126.9826151,37.5780462
문화재유산|문화재구분|종교문화재,감로암,서울특별시 종로구 충신동 15번지,서울특별시,종로구,종로5.6가동,127.0066373,37.5753306
문화재유산|문화재구분|조형물,경기감영(京畿監營) 터,서울특별시 종로구 평동 164번지,서울특별시,종로구,교남동,126.9669627,37.5673135
문화재유산|문화재구분|조형물,경모궁터(景慕宮址),서울특별시 종로구 연건동 28-22번지,서울특별시,종로구,이화동,126.9990217,37.5773513
문화재유산|문화재구분|궁궐,경복궁,서울특별시 종로구 세종로 1-91 ,서울특별시,종로구,청운효자동,126.97691,37.5772775
문화재유산|문화재구분|조형물,경성궤도회사(京城軌道) 터,서울특별시 종로구 창신동 444-14번지,서울특별시,종로구,창신1동,127.0103711,37.570918
문화재유산|문화재구분|조형물,경시서(京市署) 터,서울특별시 종로구 종로2가 40번지,서울특별시,종로구,종로1.2.3.4가동,126.9890881,37.5705405
문화재유산|문화재구분|조형물,경우궁터(景祐宮址),서울특별시 종로구 계동 146-2번지,서울특별시,종로구,가회동,126.9865825,37.5773448
문화재유산|문화재구분|가옥,경운동 민병옥 가옥,서울특별시 종로구 경운동 66-7,서울특별시,종로구,종로1.2.3.4가동,126.9859435,37.5747066
문화재유산|문화재구분|조형물,경조아문터,서울특별시 종로구 세종로 100,서울특별시,종로구,사직동,126.9782088,37.5721655
문화재유산|문화재구분|궁궐,경희궁지,서울특별시 종로구 신문로2가1-126,서울특별시,종로구,사직동,126.9679963,37.5721918
문화재유산|문화재구분|조형물,계동궁(桂洞宮) 터,서울특별시 종로구 계동 140-2번지,서울특별시,종로구,가회동,126.9873971,37.5784138
